Date,Year,Locality,Estimated Value,Sale Price,Property,Residential,num_rooms,num_bathrooms,carpet_area,property_tax_rate,Face
2/5/2009,2009,Bridgeport,133070,290000,Single Family,Detached House,3,3,1023,1.025953,East
2/5/2009,2009,Waterbury,67200,184900,Three Family,Triplex,6,4,1821,1.025953,East
2/5/2009,2009,Waterbury,96250,215000,Single Family,Detached House,3,2,1095,1.025953,West
2/5/2009,2009,Fairfield,1334270,490500,Single Family,Detached House,3,2,929,1.025953,East
2/5/2009,2009,Waterbury,78680,175000,Three Family,Triplex,6,4,2062,1.025953,West
2/5/2009,2009,Greenwich,444584.207,770000,Single Family,Detached House,3,2,1071,1.025953,South
2/5/2009,2009,Waterbury,444584.207,156000,Two Family,Duplex,4,3,1398,1.025953,East
2/8/2009,2009,Bridgeport,174231,363000,Four Family,Fourplex,8,6,2935,1.025953,South
2/8/2009,2009,Fairfield,457380,750000,Single Family,Detached House,3,3,995,1.025953,South
2/9/2009,2009,Unknown,162890,288000,Single Family,Detached House,3,3,1111.658981,1.025953,East
2/12/2009,2009,Greenwich,2828910,4450000,Single Family,Detached House,3,2,920,1.025953,East
2/12/2009,2009,Norwalk,206010,320000,Single Family,Detached House,3,1,913,1.025953,South
2/13/2009,2009,Bridgeport,148121,248000,Single Family,Detached House,3,1,1043,1.025953,West
2/15/2009,2009,Bridgeport,73220,299900,Three Family,Triplex,6,4,2142,1.025953,West
2/15/2009,2009,Unknown,444584.207,120500,Single Family,Detached House,3,3,1111.658981,1.025953,West
2/15/2009,2009,Greenwich,1849120,3500000,Single Family,Detached House,3,2,928,1.025953,North
2/15/2009,2009,Bridgeport,117601,230000,Single Family,Detached House,3,2,1016,1.025953,South
2/16/2009,2009,Waterbury,76580,156000,Single Family,Detached House,3,1,1111.658981,1.025953,East
2/16/2009,2009,Waterbury,70140,110000,Single Family,Detached House,3,2,909,1.025953,South
2/16/2009,2009,Bridgeport,110390,250000,Single Family,Detached House,3,1,904,1.025953,West
2/16/2009,2009,Bridgeport,168000,399900,Single Family,Triplex,6,4,1876,1.025953,South
2/16/2009,2009,Waterbury,77070,177000,Single Family,Detached House,3,1,975,1.025953,West
2/16/2009,2009,Bridgeport,91770,214000,Single Family,Detached House,3,3,1111.658981,1.025953,North
2/20/2009,2009,Bridgeport,61228,7000,Single Family,Detached House,3,1,1058,1.025953,East
2/20/2009,2009,Waterbury,57820,135000,Single Family,Detached House,3,2,909,1.025953,North
2/20/2009,2009,Waterbury,63010,100000,Single Family,Detached House,3,2,952,1.025953,South
2/21/2009,2009,Greenwich,653450,1250000,Single Family,Detached House,3,2,932,1.025953,South
2/21/2009,2009,Waterbury,47050,96400,Single Family,Detached House,3,1,913,1.025953,West
2/22/2009,2009,Greenwich,2844800,5625000,Single Family,Detached House,3,2,1067,1.025953,West
2/22/2009,2009,Greenwich,444584.207,1050000,Single Family,Detached House,3,2,947,1.025953,North
2/22/2009,2009,Bridgeport,56000,240000,Single Family,Detached House,3,2,959,1.025953,South
2/22/2009,2009,Waterbury,91210,212300,Single Family,Triplex,6,6,1928,1.025953,South
2/23/2009,2009,Greenwich,444584.207,7025000,Single Family,Detached House,3,3,940,1.025953,East
2/23/2009,2009,Norwalk,649530,1049000,Single Family,Detached House,3,2,1100,1.025953,West
2/23/2009,2009,Waterbury,52510,121500,Two Family,Duplex,4,4,1487,1.025953,West
2/26/2009,2009,Fairfield,221060,300000,Single Family,Detached House,3,3,1009,1.025953,North
2/27/2009,2009,Waterbury,59010,230000,Three Family,Triplex,6,5,2041,1.025953,North
2/27/2009,2009,Fairfield,444584.207,190000,Single Family,Detached House,3,3,1073,1.025953,South
2/28/2009,2009,Greenwich,608720,826000,Two Family,Duplex,4,4,1365,1.025953,South
2/28/2009,2009,Greenwich,2656080,4755018,Single Family,Detached House,3,3,1111.658981,1.025953,West
3/1/2009,2009,Greenwich,1400910,1900000,Single Family,Detached House,3,2,960,1.025953,West
3/1/2009,2009,Norwalk,264040,569900,Single Family,Detached House,3,1,1027,1.025953,West
3/1/2009,2009,Greenwich,2098950,3000000,Single Family,Detached House,3,1,939,1.025953,West
3/1/2009,2009,Waterbury,55300,48521,Single Family,Detached House,3,1,1061,1.025953,North
3/1/2009,2009,Fairfield,828030,1425000,Single Family,Detached House,3,3,1024,1.025953,South
3/2/2009,2009,Unknown,139300,285000,Single Family,Detached House,3,3,929,1.025953,South
3/2/2009,2009,Unknown,146930,289000,Single Family,Detached House,3,3,1012,1.025953,North
3/2/2009,2009,Unknown,82810,191500,Single Family,Detached House,3,3,1097,1.025953,South
3/2/2009,2009,Unknown,341040,550000,Single Family,Detached House,3,3,1111.658981,1.025953,West
3/5/2009,2009,Bridgeport,96600,183000,Two Family,Duplex,4,3,1426,1.025953,East
3/5/2009,2009,Waterbury,92120,223000,Single Family,Detached House,3,3,937,1.025953,West
3/5/2009,2009,Waterbury,55510,130000,Three Family,Triplex,6,5,2003,1.025953,North
3/6/2009,2009,Norwalk,444584.207,448000,Two Family,Duplex,4,4,1261,1.025953,North
3/6/2009,2009,Fairfield,2072490,2084000,Single Family,Detached House,3,3,1111.658981,1.025953,East
3/6/2009,2009,Unknown,369810,385000,Single Family,Detached House,3,3,1052,1.025953,South
3/7/2009,2009,Norwalk,444584.207,370000,Two Family,Duplex,4,2,1490,1.025953,West
3/7/2009,2009,Bridgeport,126070,271000,Single Family,Detached House,3,1,1052,1.025953,West
3/8/2009,2009,Waterbury,85820,229000,Three Family,Triplex,6,6,1111.658981,1.025953,West
3/8/2009,2009,Bridgeport,120121,278100,Single Family,Detached House,3,1,1037,1.025953,East
3/8/2009,2009,Greenwich,1690010,1700000,Single Family,Detached House,3,2,1037,1.025953,South
3/12/2009,2009,Waterbury,15050,102000,Single Family,Detached House,3,2,1111.658981,1.025953,West
3/12/2009,2009,Unknown,252980,691000,Single Family,Fourplex,8,7,2429,1.025953,West
3/12/2009,2009,Norwalk,444584.207,505000,Single Family,Detached House,3,1,1022,1.025953,South
3/13/2009,2009,Unknown,113750,195000,Three Family,Triplex,6,6,2004,1.025953,West
3/13/2009,2009,Bridgeport,117110,267500,Single Family,Detached House,3,2,948,1.025953,South
3/13/2009,2009,Fairfield,747250,1160000,Single Family,Detached House,3,1,1024,1.025953,South
3/14/2009,2009,Norwalk,444584.207,589900,Single Family,Detached House,3,3,1017,1.025953,North
3/14/2009,2009,Greenwich,556780,850000,Single Family,Duplex,4,3,1111.658981,1.025953,West
3/14/2009,2009,Fairfield,4102560,7850000,Single Family,Detached House,3,2,964,1.025953,North
3/14/2009,2009,Bridgeport,115360,233000,Two Family,Duplex,4,2,1454,1.025953,North
3/14/2009,2009,Waterbury,46980,159000,Two Family,Duplex,4,4,1226,1.025953,East
3/14/2009,2009,Greenwich,444584.207,3000000,Single Family,Detached House,3,3,1084,1.025953,East
3/15/2009,2009,Greenwich,1214570,2200000,Single Family,Detached House,3,1,908,1.025953,East
3/15/2009,2009,Norwalk,248788,490000,Single Family,Detached House,3,1,940,1.025953,West
3/15/2009,2009,Bridgeport,166014,395000,Three Family,Triplex,6,4,2184,1.025953,East
3/16/2009,2009,Waterbury,444584.207,149000,Single Family,Detached House,3,3,1098,1.025953,East
3/19/2009,2009,Norwalk,197400,340000,Single Family,Detached House,3,2,1025,1.025953,East
3/19/2009,2009,Waterbury,55860,148847,Two Family,Duplex,4,2,1339,1.025953,East
3/19/2009,2009,Waterbury,444584.207,147000,Single Family,Detached House,3,2,965,1.025953,East
3/19/2009,2009,Norwalk,358470,705000,Single Family,Detached House,3,3,1111.658981,1.025953,East
3/19/2009,2009,Bridgeport,172270,285000,Single Family,Triplex,6,6,2117,1.025953,East
3/19/2009,2009,Waterbury,97800,260000,Three Family,Triplex,6,4,1111.658981,1.025953,West
3/19/2009,2009,Waterbury,72310,157000,Single Family,Detached House,3,3,936,1.025953,West
3/19/2009,2009,Waterbury,444584.207,169900,Single Family,Detached House,3,2,1111.658981,1.025953,West
3/19/2009,2009,Fairfield,361620,525000,Single Family,Detached House,3,1,1048,1.025953,West
3/20/2009,2009,Bridgeport,444584.207,67500,Two Family,Duplex,4,3,1436,1.025953,North
3/20/2009,2009,Fairfield,513240,867500,Single Family,Detached House,3,2,1089,1.025953,North
3/20/2009,2009,Unknown,163310,405000,Two Family,Duplex,4,2,1467,1.025953,West
3/20/2009,2009,Bridgeport,131670,200000,Single Family,Detached House,3,2,1111.658981,1.025953,East
3/20/2009,2009,Bridgeport,126630,269000,Single Family,Detached House,3,1,1053,1.025953,East
3/21/2009,2009,Fairfield,444584.207,345000,Single Family,Detached House,3,2,955,1.025953,West
3/21/2009,2009,Norwalk,248150,570000,Single Family,Detached House,3,2,1078,1.025953,West
3/21/2009,2009,Fairfield,355320,435000,Single Family,Detached House,3,3,1095,1.025953,West
3/21/2009,2009,Unknown,88130,81250,Single Family,Detached House,3,1,1026,1.025953,North
3/21/2009,2009,Greenwich,1285480,2150000,Single Family,Detached House,3,2,1021,1.025953,West
3/22/2009,2009,Norwalk,219100,427000,Single Family,Detached House,3,3,1021,1.025953,West
3/23/2009,2009,Norwalk,382900,777500,Single Family,Detached House,3,2,900,1.025953,East
3/27/2009,2009,Norwalk,286090,520000,Single Family,Detached House,3,1,1058,1.025953,East
3/27/2009,2009,Fairfield,385140,485000,Single Family,Detached House,3,1,1111.658981,1.025953,East
3/28/2009,2009,Fairfield,377650,450000,Single Family,Detached House,3,3,1100,1.025953,West
3/28/2009,2009,Norwalk,202670,403000,Single Family,Detached House,3,1,1111.658981,1.025953,East
3/28/2009,2009,Fairfield,541030,750000,Single Family,Detached House,3,3,1079,1.025953,North
3/28/2009,2009,Bridgeport,109130,235000,Single Family,Detached House,3,3,985,1.025953,South
3/29/2009,2009,Bridgeport,72380,249900,Two Family,Duplex,4,4,1347,1.025953,South
3/30/2009,2009,Norwalk,262500,412000,Single Family,Detached House,3,3,1064,1.025953,South
3/30/2009,2009,Greenwich,8028860,8236500,Single Family,Detached House,3,1,1055,1.025953,North
3/30/2009,2009,Fairfield,342930,820000,Single Family,Detached House,3,2,924,1.025953,East
3/30/2009,2009,Waterbury,16660,15000,Three Family,Triplex,6,4,1978,1.025953,South
3/30/2009,2009,Greenwich,444584.207,500000,Single Family,Detached House,3,1,1048,1.025953,West
3/30/2009,2009,Bridgeport,155960,355000,Three Family,Triplex,6,5,2146,1.025953,South
3/30/2009,2009,Bridgeport,126420,177500,Single Family,Detached House,3,3,931,1.025953,North
3/30/2009,2009,Waterbury,99260,295000,Four Family,Fourplex,8,6,2983,1.025953,North
3/30/2009,2009,Unknown,2359840,3400000,Single Family,Detached House,3,3,1062,1.025953,South
3/30/2009,2009,Bridgeport,112910,299750,Single Family,Detached House,3,3,919,1.025953,West
4/2/2009,2009,Fairfield,303170,490000,Single Family,Detached House,3,1,1111.658981,1.025953,West
4/2/2009,2009,Bridgeport,444584.207,195000,Single Family,Detached House,3,1,906,1.025953,South
4/2/2009,2009,Waterbury,62930,196000,Three Family,Triplex,6,5,1953,1.025953,South
4/2/2009,2009,Norwalk,224770,430000,Single Family,Detached House,3,2,1091,1.025953,East
4/2/2009,2009,Unknown,53410,144000,Two Family,Duplex,4,3,1386,1.025953,East
4/2/2009,2009,Waterbury,107100,250000,Single Family,Detached House,3,2,1111.658981,1.025953,South
4/2/2009,2009,Waterbury,104160,269900,Single Family,Duplex,4,4,1349,1.025953,West
4/2/2009,2009,Norwalk,444584.207,1945000,Single Family,Detached House,3,1,986,1.025953,North
4/3/2009,2009,Norwalk,255710,462000,Single Family,Detached House,3,1,1022,1.025953,West
4/3/2009,2009,Bridgeport,125370,270000,Single Family,Detached House,3,1,982,1.025953,West
4/3/2009,2009,Waterbury,226660,320000,Single Family,Detached House,3,2,1061,1.025953,East
4/3/2009,2009,Unknown,135801,390000,Three Family,Triplex,6,5,2143,1.025953,South
4/3/2009,2009,Fairfield,387170,515000,Single Family,Detached House,3,3,1093,1.025953,West
4/3/2009,2009,Norwalk,218330,407500,Single Family,Detached House,3,1,1014,1.025953,North
4/4/2009,2009,Waterbury,101430,329000,Three Family,Triplex,6,6,2019,1.025953,North
4/5/2009,2009,Bridgeport,245210,445000,Single Family,Detached House,3,3,980,1.025953,East
4/5/2009,2009,Bridgeport,42420,52000,Two Family,Duplex,4,2,1372,1.025953,South
4/5/2009,2009,Greenwich,1597610,3150000,Single Family,Detached House,3,1,947,1.025953,West
4/5/2009,2009,Waterbury,129010,270000,Single Family,Detached House,3,2,991,1.025953,West
4/5/2009,2009,Norwalk,812630,1695000,Single Family,Detached House,3,1,923,1.025953,South
4/5/2009,2009,Norwalk,251790,425000,Single Family,Detached House,3,2,950,1.025953,West
4/5/2009,2009,Greenwich,4705820,6750000,Single Family,Detached House,3,3,986,1.025953,North
4/9/2009,2009,Waterbury,444584.207,163000,Single Family,Detached House,3,1,997,1.025953,East
4/9/2009,2009,Bridgeport,118440,285000,Single Family,Detached House,3,1,973,1.025953,East
4/9/2009,2009,Greenwich,5630730,7000000,Single Family,Detached House,3,2,999,1.025953,North
4/9/2009,2009,Bridgeport,176750,257000,Three Family,Triplex,6,4,1804,1.025953,East
4/9/2009,2009,Unknown,77280,239900,Two Family,Duplex,4,3,1322,1.025953,North
4/10/2009,2009,Fairfield,343980,410000,Single Family,Detached House,3,1,991,1.025953,West
4/10/2009,2009,Norwalk,207760,375000,Single Family,Detached House,3,2,1035,1.025953,South
4/11/2009,2009,Greenwich,1120350,1575000,Single Family,Detached House,3,3,945,1.025953,South
4/11/2009,2009,Bridgeport,113680,185000,Single Family,Detached House,3,3,972,1.025953,East
4/11/2009,2009,Greenwich,634200,860000,Single Family,Detached House,3,3,1083,1.025953,North
4/12/2009,2009,Bridgeport,11830,206000,Single Family,Detached House,3,1,913,1.025953,East
4/12/2009,2009,Bridgeport,116060,125185,Single Family,Detached House,3,2,1024,1.025953,South
4/13/2009,2009,Fairfield,444584.207,407500,Single Family,Detached House,3,2,981,1.025953,North
4/13/2009,2009,Waterbury,66780,245000,Three Family,Triplex,6,5,1806,1.025953,West
4/13/2009,2009,Waterbury,444584.207,108000,Single Family,Detached House,3,3,1012,1.025953,North
4/13/2009,2009,Norwalk,292530,402000,Single Family,Detached House,3,1,1111.658981,1.025953,West
4/13/2009,2009,Norwalk,1336580,1675000,Single Family,Detached House,3,3,1111.658981,1.025953,South
4/13/2009,2009,Norwalk,371210,605000,Single Family,Detached House,3,2,992,1.025953,West
4/13/2009,2009,Waterbury,60620,164000,Single Family,Detached House,3,1,1098,1.025953,East
4/16/2009,2009,Bridgeport,115850,243750,Two Family,Duplex,4,2,1241,1.025953,North
4/17/2009,2009,Greenwich,2624790,2899000,Single Family,Detached House,3,3,1044,1.025953,East
4/17/2009,2009,Greenwich,443940,515000,Single Family,Detached House,3,1,1018,1.025953,South
4/17/2009,2009,Fairfield,521150,670000,Single Family,Detached House,3,1,996,1.025953,North
4/18/2009,2009,Bridgeport,71680,164000,Single Family,Detached House,3,1,1054,1.025953,South
4/18/2009,2009,Fairfield,869680,1387500,Single Family,Detached House,3,1,1111.658981,1.025953,East
4/18/2009,2009,Waterbury,59710,235000,Single Family,Triplex,6,5,1993,1.025953,East
4/19/2009,2009,Unknown,75810,193400,Two Family,Duplex,4,4,1307,1.025953,West
4/19/2009,2009,Greenwich,134330,1500000,Single Family,Detached House,3,1,913,1.025953,South
4/20/2009,2009,Bridgeport,184800,130000,Single Family,Detached House,3,3,909,1.025953,North
4/20/2009,2009,Greenwich,1749930,3140000,Single Family,Detached House,3,2,1111.658981,1.025953,North
4/20/2009,2009,Waterbury,37170,84900,Single Family,Detached House,3,3,1033,1.025953,East
4/23/2009,2009,Bridgeport,113890,225000,Two Family,Duplex,4,3,1111.658981,1.025953,North
4/23/2009,2009,Bridgeport,444584.207,215000,Single Family,Detached House,3,3,1111.658981,1.025953,South
4/23/2009,2009,Greenwich,2179380,2650000,Single Family,Detached House,3,2,1094,1.025953,North
4/23/2009,2009,Fairfield,1291710,1750000,Single Family,Detached House,3,3,950,1.025953,North
4/23/2009,2009,Greenwich,641690,1200000,Single Family,Detached House,3,3,967,1.025953,East
4/23/2009,2009,Fairfield,376880,710000,Single Family,Detached House,3,2,926,1.025953,South
4/24/2009,2009,Fairfield,389900,389900,Single Family,Detached House,3,1,1023,1.025953,East
4/24/2009,2009,Norwalk,340883,702500,Single Family,Detached House,3,2,945,1.025953,South
4/24/2009,2009,Norwalk,248360,455000,Single Family,Detached House,3,1,1023,1.025953,North
4/24/2009,2009,Waterbury,444584.207,205000,Single Family,Detached House,3,3,930,1.025953,East
4/25/2009,2009,Bridgeport,176890,320000,Single Family,Detached House,3,3,1111.658981,1.025953,South
4/25/2009,2009,Unknown,397390,560000,Single Family,Detached House,3,3,926,1.025953,West
4/25/2009,2009,Waterbury,62580,159900,Single Family,Detached House,3,3,1041,1.025953,East
4/25/2009,2009,Fairfield,433440,805000,Single Family,Detached House,3,3,1032,1.025953,North
4/25/2009,2009,Bridgeport,60831,140000,Single Family,Detached House,3,3,1061,1.025953,North
4/25/2009,2009,Unknown,444584.207,300000,Single Family,Detached House,3,3,1056,1.025953,West
4/25/2009,2009,Greenwich,699790,1265000,Single Family,Detached House,3,3,922,1.025953,West
4/26/2009,2009,Unknown,70210,160000,Single Family,Detached House,3,3,1008,1.025953,West
4/27/2009,2009,Waterbury,104090,254000,Single Family,Detached House,3,2,1010,1.025953,South
4/27/2009,2009,Bridgeport,96390,175000,Single Family,Detached House,3,2,985,1.025953,East
4/27/2009,2009,Greenwich,444584.207,580000,Single Family,Detached House,3,3,965,1.025953,East
4/27/2009,2009,Bridgeport,183330,316000,Single Family,Detached House,3,3,961,1.025953,West
4/27/2009,2009,Fairfield,437500,579000,Single Family,Detached House,3,1,1111.658981,1.025953,East
4/30/2009,2009,Norwalk,297780,570000,Single Family,Detached House,3,2,976,1.025953,West
4/30/2009,2009,Bridgeport,444584.207,260000,Two Family,Duplex,4,4,1249,1.025953,South
4/30/2009,2009,Fairfield,1150590,2000000,Single Family,Detached House,3,3,1033,1.025953,West
4/30/2009,2009,Waterbury,444584.207,185000,Single Family,Detached House,3,1,1008,1.025953,East
4/30/2009,2009,Greenwich,1313340,3200000,Single Family,Detached House,3,3,1012,1.025953,South
4/30/2009,2009,Fairfield,412650,399000,Single Family,Detached House,3,2,1055,1.025953,East
4/30/2009,2009,Norwalk,304850,560000,Single Family,Detached House,3,3,1018,1.025953,East
4/30/2009,2009,Waterbury,104230,243000,Single Family,Detached House,3,2,1074,1.025953,West
4/30/2009,2009,Fairfield,444584.207,465000,Single Family,Detached House,3,3,920,1.025953,South
5/1/2009,2009,Waterbury,3500,195900,Single Family,Detached House,3,2,988,1.025953,West
5/1/2009,2009,Unknown,427420,610000,Single Family,Detached House,3,3,955,1.025953,East
5/1/2009,2009,Fairfield,444584.207,625000,Single Family,Detached House,3,2,1029,1.025953,West
5/1/2009,2009,Fairfield,489580,715000,Single Family,Detached House,3,2,1072,1.025953,North
5/1/2009,2009,Waterbury,57470,143400,Single Family,Detached House,3,3,996,1.025953,North
5/1/2009,2009,Unknown,444584.207,929000,Single Family,Detached House,3,1,959,1.025953,South
5/1/2009,2009,Fairfield,273700,456100,Single Family,Detached House,3,3,1095,1.025953,North
5/1/2009,2009,Fairfield,444584.207,690000,Single Family,Detached House,3,2,971,1.025953,East
5/2/2009,2009,Fairfield,1515640,2100000,Single Family,Detached House,3,1,1111.658981,1.025953,North
